Name,Long,Lat,Rating,Type
PRAYAG MEDICAL SHOP,19.47113248,72.80519123,4.5,Medical
Samarth medical,19.47293708,72.80729577,4.4,Medical
Chamunda medical,19.46618002,72.81566426,3.5,Medical
"Shiv medical ",19.45905851,72.81201646,5,Medical
"Apna gragha medical ",19.45466651,72.81095506,3,Medical
"Metro medical ",19.45996976,72.8028093,2,Medical
"Vidya medical ",19.45850681,72.8075416,5,Medical
Kamal Medical And General Stores,19.45232572,72.80637792,1,Medical
Virar medical,19.45217942,72.80804586,3.3,Medical
"Mumbai medical ",19.44760745,72.80381783,4.4,Medical
Om hospital,19.44961913,72.81770441,2.5,Medical
Karma medical,19.45185024,72.79722364,4.5,Medical
